,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
43,6QUMhgtN8EMqU30n7XHDAH,Nevereverland,47,0.29100000000000004,0.9279999999999999,7,-4.465,0,0.177,0.0132,0.0,0.18600000000000003,0.259,103.07
0,3okPiJwW5nCLpug12sCL4p,All Day and All of the Night,0,0.5630000000000001,0.915,7,-5.062,1,0.08,0.247,8.460000000000001e-05,0.0613,0.71,136.345
1,6gQUbFwwdYXlKdmqRoWKJe,Dude (Looks Like A Lady),71,0.54,0.982,4,-2.962,0,0.0458,0.435,3.370000000000001e-05,0.045700000000000005,0.91,126.294
2,0PP933bHgvV0eD19dG3ms5,Here I Go Again 87 - 2017 Remastered Version,0,0.384,0.846,7,-5.591,1,0.036500000000000005,0.151,7.730000000000001e-05,0.0913,0.272,90.17200000000001
3,4nuUssdgKFy2QyYHHNkZQW,Sunday Bloody Sunday - Remastered 2008,65,0.5429999999999999,0.944,6,-7.495,1,0.0543,0.402,0.0005639999999999999,0.0373,0.735,101.17399999999999
4,7J4WbEdRTZGJDsSr5AACCw,Midnight Rider,0,0.392,0.33399999999999996,7,-18.294,1,0.031900000000000005,0.515,0.0946,0.0892,0.621,189.394
5,6i8ecOsx4J2Px1maiqzqoG,Everywhere,0,0.6900000000000001,0.54,4,-10.515999999999998,1,0.0317,0.218,0.00657,0.115,0.764,114.846
6,3MODES4TNtygekLl146Dxd,Ramble On - 1990 Remaster,71,0.46799999999999997,0.607,9,-11.367,1,0.033600000000000005,0.07200000000000001,0.000852,0.225,0.8859999999999999,98.429
7,3vCHmbyOgc6pgwLUWfU4pF,Somebody To Love - Remastered 2011,0,0.461,0.6900000000000001,8,-6.957999999999999,1,0.0611,0.16899999999999998,1.01e-06,0.113,0.353,110.915
8,4nXkbcTj3nyww1cHkw5RAP,Long Train Runnin',73,0.5750000000000001,0.912,7,-7.275,0,0.0393,0.0916,0.0021100000000000003,0.0562,0.843,117.399
9,5zH710lFSLtkHbMkslLDjR,Crazy On You,67,0.42700000000000005,0.45899999999999996,9,-12.442,0,0.0332,0.11599999999999999,0.000103,0.132,0.38299999999999995,129.878
10,5UYPZZDQfpCE7A0FDDqv4k,Foreplay / Long Time,0,0.436,0.657,5,-8.868,1,0.0541,0.00975,0.00748,0.0931,0.21,118.693
11,45s88Xopo6KvHc0PQ05aGg,My Generation - Mono Version,61,0.299,0.787,0,-7.93,0,0.069,0.14,0.0,0.292,0.716,94.79799999999999
12,6ToM0uwxtPKo9CMpbPGYvM,Break on Through (To the Other Side),72,0.42100000000000004,0.7509999999999999,9,-9.584,1,0.0472,0.2,0.0,0.17,0.789,89.839
0,0mHyWYXmmCB9iQyK18m3FQ,Hello,59,0.48700000000000004,0.24600000000000002,9,-14.104000000000001,0,0.0376,0.414,0.0,0.0983,0.0562,61.083999999999996
1,4oa14QBfWRDfJy2agySy0L,Gravity,70,0.27,0.275,0,-10.357000000000001,1,0.0356,0.8340000000000001,0.0,0.146,0.231,168.96400000000003
2,2JNR0mnwtc6cuebhu0cez5,Magic,6,0.743,0.374,3,-7.4,0,0.131,0.809,0.0186,0.134,0.6970000000000001,68.042
3,75HcneiRhhR7rSz9wNp5I3,202 feat. 泉まくら - New Mix,50,0.794,0.501,8,-8.837,1,0.0356,0.526,0.0011099999999999999,0.08940000000000001,0.542,90.01299999999999
4,0K9rIsZfdlzAoOEWyeFQYM,Plastic Love,60,0.833,0.618,0,-8.932,1,0.05640000000000001,0.64,0.00205,0.0969,0.863,103.507
5,3LEqF3bVGyn139CPBylUsb,タイトロープ,27,0.5479999999999999,0.442,2,-5.5,1,0.0327,0.159,0.0,0.11699999999999999,0.0991,61.027
6,0E86qYpBVp0nFhlTplIuyv,LIKE OUR LIFE,26,0.441,0.726,4,-7.495,1,0.0273,0.0671,0.18899999999999997,0.28300000000000003,0.8390000000000001,72.986
7,6L1DorrOCEdx7XdxmVzsEt,中央線,29,0.5379999999999999,0.552,1,-5.522,1,0.0389,0.079,0.0007279999999999999,0.0756,0.637,169.896
8,27udJcfu06TvbbOpgfxIlw,金木犀の夜,50,0.6609999999999999,0.609,2,-6.978,1,0.0281,0.157,0.0011,0.106,0.489,125.961
9,6shRGWCtBUOPFLFTTqXZIC,Upside Down,68,0.787,0.655,6,-8.339,0,0.0431,0.238,0.00017099999999999998,0.138,0.65,102.485
10,6Mavd9uk89Y9OTdvcDTfGG,クロノスタシス,53,0.46299999999999997,0.755,1,-5.836,1,0.0281,0.0278,0.00763,0.129,0.6960000000000001,83.87299999999999
11,5cACEjJ6c80Vre9upSPrCe,Navy Love,27,0.905,0.625,10,-8.856,1,0.0503,0.267,0.0,0.0717,0.925,136.009
12,5fyHa5mzJkU2naQOt3vYX8,EXIT,35,0.708,0.7829999999999999,0,-4.2139999999999995,0,0.07390000000000001,0.05860000000000001,0.0,0.08320000000000001,0.596,174.993
13,7ALkpuavOZN3vzaQVsJogk,爽健美茶のラップ,42,0.777,0.897,4,-3.8939999999999997,1,0.0684,0.0486,7.48e-06,0.0972,0.85,122.01700000000001
14,159AnVj9IVGu4JmZT4ZuYe,Love is Over - (Tomggg Remix),42,0.738,0.78,2,-7.445,1,0.0629,0.34700000000000003,2.74e-06,0.0632,0.947,115.006
15,7zBjKO6CGdnCbd1EPyianB,Balloon,45,0.84,0.5479999999999999,1,-7.268,1,0.0936,0.418,0.0,0.0884,0.593,92.01799999999999
16,5Zjge6yCThuBMdnJdOBp9A,Easy Breezy,55,0.655,0.993,2,-2.026,1,0.0862,0.507,0.0,0.392,0.62,93.021
17,6wvLPV2U6I5HdzkcsGqGDt,Highlight,37,0.963,0.664,10,-4.986000000000001,0,0.06330000000000001,0.27399999999999997,4.86e-06,0.0855,0.231,126.01799999999999
18,0YtEEp66vm9Ae7TXhVnat9,Summer Situation,48,0.677,0.7559999999999999,0,-4.194,0,0.0641,0.145,2.17e-06,0.0796,0.866,84.50399999999999
19,0btLLjOMp8mQ1q1NA18XpU,ずるいね,47,0.852,0.449,4,-8.038,0,0.28800000000000003,0.477,0.0,0.105,0.5700000000000001,91.961
20,5cAEkJEYiNTO26oXRKnxJn,Contact - TOSHIKI HAYASHI(%C) remix,44,0.852,0.5489999999999999,5,-8.626,0,0.0443,0.644,0.0,0.0896,0.7010000000000001,91.014
21,2qsC226kiUMkeTHZiTPRly,まぁいっか,30,0.833,0.7509999999999999,5,-7.06,1,0.22,0.0414,0.0,0.0779,0.9129999999999999,99.00299999999999
22,7Gt33He6jT83ouFRKDescU,Blue,38,0.759,0.68,4,-7.477,0,0.0766,0.79,0.000109,0.10800000000000001,0.72,86.988
23,5EyQlDZdQxQpP6pbUKZEZU,Honey Bunny,36,0.8240000000000001,0.598,10,-6.277,1,0.10800000000000001,0.376,9.49e-06,0.0869,0.622,90.005
24,40fcXSuSb80MekMZM1ei2J,溫柔 #MaydayBlue20th - feat.孫燕姿,57,0.43700000000000006,0.675,10,-6.223,1,0.0379,0.392,0.0,0.127,0.364,148.06799999999998
25,0IAgufC1FlOg1nZMmRZxRr,突然好想你,61,0.462,0.465,2,-6.485,1,0.0262,0.226,7.699999999999999e-06,0.196,0.409,140.112
26,7dU73Tw01Q0bQGmZD5U9rG,Perfect Too,16,0.7859999999999999,0.44799999999999995,1,-7.331,1,0.0371,0.375,0.0,0.131,0.706,117.98100000000001
27,7niSgjTPPgvRBFBTrwfUoF,Less of a Girl,21,0.581,0.306,6,-7.757999999999999,1,0.024800000000000003,0.5660000000000001,5.8300000000000014e-05,0.07640000000000001,0.0882,95.074
28,6NfKaTgPrh4zi24lRyWdbw,1964,41,0.635,0.387,4,-5.571000000000001,1,0.0448,0.58,0.0,0.15,0.276,83.15100000000001
29,3BQHpFgAp4l80e1XslIjNI,Yesterday - Remastered 2009,77,0.332,0.179,5,-11.83,1,0.032600000000000004,0.879,0.0,0.0886,0.315,96.529
30,2HDGtTkECiCygeSNYIH9RQ,Shimendoka - 2019 Remastering,35,0.718,0.8390000000000001,0,-4.401,1,0.0333,0.308,0.134,0.33,0.8320000000000001,145.102
